"Campaign","Ad Group","Keyword","Criterion Type","Max CPC","Final URL","Patologia -> Tratamiento"
"C1 | Laser","AG1 - Manchas y melasma","tratamiento para manchas en la cara","Phrase","1.00","https://www.lumapiel.com.ar/especialidades/tratamientos-laser","Manchas -> IPL / Q-Switch"
"C1 | Laser","AG3 - Cicatrices de acne y poros","laser erbium","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Textura -> Erbium Glass"
"C1 | Laser","AG3 - Cicatrices de acne y poros","textura irregular de la piel","Phrase","0.75","https://www.lumapiel.com.ar/tratamientos/laser-velo-de-novia","Textura -> Velo de Novia"
"C1 | Laser","AG3 - Cicatrices de acne y poros","cicatrices en la piel tratamiento laser","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Cicatrices -> Erbium Glass"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","rejuvenecimiento facial laser","Phrase","1.10","https://www.lumapiel.com.ar/tratamientos/laser-luma-skin-reset","Fotoenvejecimiento -> Luma Skin Reset"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","laser rejuvenecimiento facial precio","Phrase","0.95","https://www.lumapiel.com.ar/tratamientos/laser-luma-skin-reset","Fotoenvejecimiento -> Luma Skin Reset"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","flacidez facial tratamiento","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-facial","Flacidez -> Q-Switch Facial"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","tensado de la piel de la cara","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-completo","Flacidez -> Q-Switch Completo"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","fotoenvejecimiento tratamiento","Phrase","0.80","https://www.lumapiel.com.ar/tratamientos/laser-luma-skin-reset","Fotodano -> Luma Skin Reset"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","dano solar en la piel tratamiento","Phrase","0.80","https://www.lumapiel.com.ar/tratamientos/laser-luma-skin-reset","Fotodano -> Luma Skin Reset"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","piel apagada sin luminosidad","Phrase","0.70","https://www.lumapiel.com.ar/tratamientos/laser-velo-de-novia","Piel opaca -> Velo de Novia"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","tratamiento laser cuello y escote","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-completo","Fotodano cuello/escote -> Q-Switch Completo"
"C1 | Laser","AG4 - Rejuvenecimiento y flacidez","estimulacion de colageno laser","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-erbium-glass","Perdida de colageno -> Erbium Glass"
"C1 | Laser","AG5 - Caida de pelo","tratamiento para la caida del pelo","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-erbium-capilar","Efluvio / alopecia -> Erbium Capilar"
"C1 | Laser","AG5 - Caida de pelo","caida de pelo mujer tratamiento","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-erbium-capilar","Efluvio telogeno -> Erbium Capilar"
"C1 | Laser","AG5 - Caida de pelo","laser capilar para caida de pelo","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/laser-erbium-capilar","Alopecia -> Erbium Capilar"
"C1 | Laser","AG5 - Caida de pelo","tratamiento alopecia androgenetica","Phrase","0.95","https://www.lumapiel.com.ar/tratamientos/laser-erbium-capilar","Alopecia androgenetica -> Erbium Capilar"
"C1 | Laser","AG5 - Caida de pelo","alopecia areata tratamiento","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/laser-erbium-capilar","Alopecia areata -> Erbium Capilar"
"C1 | Laser","AG5 - Caida de pelo","efluvio telogeno tratamiento","Phrase","0.75","https://www.lumapiel.com.ar/tratamientos/laser-erbium-capilar","Efluvio telogeno -> Erbium Capilar"
"C1 | Laser","AG5 - Caida de pelo","mesoterapia capilar","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/mesoterapia-capilar","Alopecia -> Mesoterapia capilar"
"C1 | Laser","AG5 - Caida de pelo","plasma rico en plaquetas capilar","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/plasma-rico-en-plaquetas-capilar","Alopecia -> PRP capilar"
"C1 | Laser","AG5 - Caida de pelo","prp capilar precio","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/plasma-rico-en-plaquetas-capilar","Alopecia -> PRP capilar"
"C1 | Laser","AG6 - Ojeras y estrias","tratamiento para ojeras","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-ojeras","Ojera pigmentaria -> Q-Switch Ojeras"
"C1 | Laser","AG6 - Ojeras y estrias","laser para ojeras","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-ojeras","Ojera pigmentaria -> Q-Switch Ojeras"
"C1 | Laser","AG6 - Ojeras y estrias","ojeras oscuras tratamiento","Phrase","0.85","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-ojeras","Ojera melanica -> Q-Switch Ojeras"
"C1 | Laser","AG6 - Ojeras y estrias","tratamiento para estrias","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-estrias","Estrias -> Q-Switch Estrias"
"C1 | Laser","AG6 - Ojeras y estrias","laser para estrias","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-estrias","Estrias -> Q-Switch Estrias"
"C1 | Laser","AG6 - Ojeras y estrias","estrias blancas tratamiento","Phrase","0.80","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-estrias","Estrias maduras -> Q-Switch Estrias"
"C1 | Laser","AG6 - Ojeras y estrias","estrias rojas tratamiento","Phrase","0.80","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-estrias","Estrias recientes -> Q-Switch Estrias"
"C1 | Laser","AG7 - Onicomicosis","hongos en las unas tratamiento","Phrase","0.70","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-onicomicosis","Onicomicosis -> Q-Switch Onicomicosis"
"C1 | Laser","AG7 - Onicomicosis","onicomicosis tratamiento","Phrase","0.70","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-onicomicosis","Onicomicosis -> Q-Switch Onicomicosis"
"C1 | Laser","AG7 - Onicomicosis","laser para hongos en las unas","Phrase","0.75","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-onicomicosis","Onicomicosis -> Q-Switch Onicomicosis"
"C1 | Laser","AG7 - Onicomicosis","unas de los pies con hongos","Phrase","0.60","https://www.lumapiel.com.ar/tratamientos/laser-q-switch-onicomicosis","Onicomicosis -> Q-Switch Onicomicosis"
"C2 | Toxina botulinica","AG8 - Toxina estetica","toxina botulinica","Phrase","1.20","https://www.lumapiel.com.ar/tratamientos/botox","Arrugas dinamicas -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","toxina botulinica precio","Phrase","1.10","https://www.lumapiel.com.ar/tratamientos/botox","Arrugas dinamicas -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","botox palermo","Phrase","1.20","https://www.lumapiel.com.ar/tratamientos/botox","Arrugas -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","botox dermatologo","Phrase","1.20","https://www.lumapiel.com.ar/tratamientos/botox","Arrugas -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","arrugas del entrecejo tratamiento","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/botox","Arruga glabelar -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","patas de gallo tratamiento","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/botox","Arrugas perioculares -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","arrugas de la frente tratamiento","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/botox","Lineas frontales -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","botox full face","Phrase","1.10","https://www.lumapiel.com.ar/tratamientos/botox-full-face","Arrugas rostro completo -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","sonrisa gingival tratamiento","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/botox-sonrisa-gingival","Sonrisa gingival -> Toxina"
"C2 | Toxina botulinica","AG8 - Toxina estetica","botox cuello","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-cuello","Bandas platismales -> Toxina"
"C2 | Toxina botulinica","AG9 - Toxina medica","tratamiento hiperhidrosis","Phrase","1.10","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-hiperhidrosis","Hiperhidrosis -> Toxina"
"C2 | Toxina botulinica","AG9 - Toxina medica","sudoracion excesiva axilas tratamiento","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-hiperhidrosis","Hiperhidrosis axilar -> Toxina"
"C2 | Toxina botulinica","AG9 - Toxina medica","botox para transpiracion","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-hiperhidrosis","Hiperhidrosis -> Toxina"
"C2 | Toxina botulinica","AG9 - Toxina medica","hiperhidrosis palmar tratamiento","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-hiperhidrosis","Hiperhidrosis palmar -> Toxina"
"C2 | Toxina botulinica","AG9 - Toxina medica","tratamiento para el bruxismo","Phrase","1.00","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-bruxismo","Bruxismo -> Toxina"
"C2 | Toxina botulinica","AG9 - Toxina medica","botox para bruxismo","Phrase","1.10","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-bruxismo","Bruxismo -> Toxina"
"C2 | Toxina botulinica","AG9 - Toxina medica","toxina botulinica migrana","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-migrana","Migrana cronica -> Toxina"
"C2 | Toxina botulinica","AG9 - Toxina medica","tratamiento migrana cronica botox","Phrase","0.90","https://www.lumapiel.com.ar/tratamientos/toxina-botulinica-migrana","Migrana cronica -> Toxina"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","limpieza de cutis","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/limpieza-de-cutis","Comedones / piel opaca -> Limpieza"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","limpieza de cutis palermo","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/limpieza-de-cutis","Comedones -> Limpieza"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","limpieza facial profunda","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/limpieza-de-cutis","Congestion -> Limpieza"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","puntos negros tratamiento","Phrase","0.50","https://www.lumapiel.com.ar/tratamientos/limpieza-de-cutis","Comedones -> Limpieza"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","limpieza de cutis con dermatologo","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/limpieza-de-cutis","Comedones -> Limpieza"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","acne en la espalda tratamiento","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/limpieza-peeling-tca-espalda","Acne corporal -> Limpieza + TCA espalda"
"C3 | Cosmiatria","AG10 - Limpieza de cutis","mascarilla hidratante profesional","Phrase","0.45","https://www.lumapiel.com.ar/tratamientos/luma-hydrojelly-mask","Deshidratacion -> Hydrojelly"
"C3 | Cosmiatria","AG11 - Peelings","peeling facial","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/limpieza-peeling-tca-facial","Textura / manchas -> Peeling TCA"
"C3 | Cosmiatria","AG11 - Peelings","peeling quimico facial","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/limpieza-peeling-tca-facial","Textura -> Peeling TCA"
"C3 | Cosmiatria","AG11 - Peelings","peeling retinoico","Phrase","0.50","https://www.lumapiel.com.ar/tratamientos/peeling-retinoico","Acne / manchas -> Peeling retinoico"
"C3 | Cosmiatria","AG11 - Peelings","peeling mandelico","Phrase","0.50","https://www.lumapiel.com.ar/tratamientos/limpieza-cutis-peeling-mandelico","Acne comedonico -> Peeling mandelico"
"C3 | Cosmiatria","AG11 - Peelings","peeling para manchas en la cara","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/limpieza-peeling-tca-facial","Manchas superficiales -> Peeling TCA"
"C3 | Cosmiatria","AG11 - Peelings","peeling para manos","Phrase","0.45","https://www.lumapiel.com.ar/tratamientos/peeling-tca-manos","Lentigos manos -> Peeling TCA manos"
"C3 | Cosmiatria","AG11 - Peelings","peeling para acne","Phrase","0.55","https://www.lumapiel.com.ar/tratamientos/peeling-retinoico","Acne activo -> Peeling retinoico"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo palermo","Phrase","0.80","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologa palermo","Phrase","0.80","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologa en palermo","Exact","0.90","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo caba","Phrase","0.75","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologa caba","Phrase","0.75","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo capital federal","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo belgrano","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologa belgrano","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo recoleta","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo colegiales","Phrase","0.65","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo villa urquiza","Phrase","0.65","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo nunez","Phrase","0.65","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo vicente lopez","Phrase","0.65","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","consultorio dermatologico palermo","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca profesional por zona -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo cerca mio","Exact","0.60","https://www.lumapiel.com.ar/contacto","Busca profesional cercano -> Contacto"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","turno dermatologo","Phrase","0.80","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Intencion de reserva -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","turno con dermatologa","Phrase","0.80","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Intencion de reserva -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","sacar turno dermatologo","Phrase","0.80","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Intencion de reserva -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","consulta dermatologica","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Intencion de reserva -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","primera consulta dermatologica","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Intencion de reserva -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologo sin obra social","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Atencion particular -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologa particular","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Atencion particular -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","mejor dermatologo caba","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca referencia -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatologa recomendada caba","Phrase","0.70","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Busca referencia -> Consulta 1 vez"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","consulta dermatologica online","Phrase","0.55","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-online","Teleconsulta -> Consulta online"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","teleconsulta dermatologica","Phrase","0.55","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-online","Teleconsulta -> Consulta online"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","control de lunares","Phrase","0.75","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Control de lunares -> Dermatoscopia en consulta"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","chequeo de lunares","Phrase","0.75","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Control de lunares -> Dermatoscopia en consulta"
"C4 | Dermatologa Palermo","AG12 - Dermatologa Palermo y turno","dermatoscopia","Phrase","0.60","https://www.lumapiel.com.ar/consultas/consulta-dermatologia-1-vez","Control de lunares -> Dermatoscopia en consulta"
