"Lista","Palabra clave negativa","Concordancia","Motivo","Prioridad"
"NEG Servicios no ofrecidos","relleno facial","Frase","No se ofrece","ALTA"
"NEG Servicios no ofrecidos","hilos tensores","Frase","No se ofrece","ALTA"
"NEG Servicios no ofrecidos","lifting","Amplia","No se ofrece","ALTA"
"NEG Servicios no ofrecidos","liposuccion","Amplia","No esta en el catalogo web","ALTA"
"NEG Servicios no ofrecidos","lipoaspiracion","Amplia","No esta en el catalogo web","ALTA"
"NEG Servicios no ofrecidos","abdominoplastia","Amplia","No esta en el catalogo web","ALTA"
"NEG Servicios no ofrecidos","protesis mamarias","Frase","No esta en el catalogo web","ALTA"
"NEG Servicios no ofrecidos","aumento de busto","Frase","No esta en el catalogo web","ALTA"
"NEG Servicios no ofrecidos","rinoplastia","Amplia","No esta en el catalogo web","ALTA"
"NEG Servicios no ofrecidos","bichectomia","Amplia","No esta en el catalogo web","ALTA"
"NEG Servicios no ofrecidos","criolipolisis","Amplia","No esta en el catalogo web","ALTA"
"NEG Servicios no ofrecidos","celulitis","Amplia","No esta en el catalogo web","MEDIA"
"NEG Servicios no ofrecidos","farmacia","Amplia","Busca comprar medicacion","ALTA"
"NEG Servicios no ofrecidos","comprar crema","Frase","Busca producto, no tratamiento","ALTA"
"NEG Servicios no ofrecidos","pomada","Amplia","Busca producto","MEDIA"
"NEG Comercial","comprar","Amplia","Busca comprar equipamiento o producto","MAXIMA"
"NEG Comercial","venta","Amplia","Busca comprar equipamiento","MAXIMA"
"NEG Comercial","maquina","Amplia","Colegas buscando comprar el equipo","MAXIMA"
"NEG Comercial","equipo laser","Frase","Colegas buscando comprar el equipo","MAXIMA"
"NEG Comercial","aparatologia","Amplia","Proveedores","ALTA"
"NEG Comercial","insumos","Amplia","Proveedores","ALTA"
"NEG Comercial","mayorista","Amplia","Proveedores","ALTA"
"NEG Comercial","distribuidor","Amplia","Proveedores","ALTA"
"NEG Comercial","alquiler","Amplia","Proveedores","ALTA"
"NEG Comercial","usado","Amplia","Proveedores","ALTA"
"NEG Geo","mexico","Amplia","Fuera de zona","ALTA"
"NEG Geo","colombia","Amplia","Fuera de zona","ALTA"
"NEG Geo","chile","Amplia","Fuera de zona","ALTA"
"NEG Geo","uruguay","Amplia","Fuera de zona","ALTA"
"NEG Geo","espana","Amplia","Fuera de zona","ALTA"
"NEG Geo","madrid","Amplia","Fuera de zona","ALTA"
"NEG Geo","barcelona","Amplia","Fuera de zona","ALTA"
"NEG Geo","miami","Amplia","Fuera de zona","ALTA"
"NEG Geo","turquia","Amplia","Fuera de zona","ALTA"
"NEG Geo","peru","Amplia","Fuera de zona","ALTA"
"NEG Geo","cordoba","Amplia","Fuera de zona","ALTA"
"NEG Geo","rosario","Amplia","Fuera de zona","ALTA"
"NEG Geo","mendoza","Amplia","Fuera de zona","ALTA"
"NEG Geo","la plata","Frase","Fuera de zona","ALTA"
"NEG Geo","mar del plata","Frase","Fuera de zona","ALTA"
"NEG Geo","veterinario","Amplia","Irrelevante","MEDIA"
"NEG Geo","perro","Amplia","Irrelevante","MEDIA"
"NEG Geo","gato","Amplia","Irrelevante","MEDIA"
