"Campaign","Keyword","Criterion Type"
"C1 | Laser","depilacion","Campaign Negative Broad"
"C1 | Laser","aumento de busto","Campaign Negative Phrase"
"C1 | Laser","rinoplastia","Campaign Negative Broad"
"C1 | Laser","bichectomia","Campaign Negative Broad"
"C1 | Laser","criolipolisis","Campaign Negative Broad"
"C1 | Laser","celulitis","Campaign Negative Broad"
"C1 | Laser","farmacia","Campaign Negative Broad"
"C1 | Laser","comprar crema","Campaign Negative Phrase"
"C1 | Laser","pomada","Campaign Negative Broad"
"C1 | Laser","comprar","Campaign Negative Broad"
"C1 | Laser","venta","Campaign Negative Broad"
"C1 | Laser","maquina","Campaign Negative Broad"
"C1 | Laser","equipo laser","Campaign Negative Phrase"
"C1 | Laser","aparatologia","Campaign Negative Broad"
"C1 | Laser","insumos","Campaign Negative Broad"
"C1 | Laser","mayorista","Campaign Negative Broad"
"C1 | Laser","distribuidor","Campaign Negative Broad"
"C1 | Laser","alquiler","Campaign Negative Broad"
"C1 | Laser","usado","Campaign Negative Broad"
"C1 | Laser","mexico","Campaign Negative Broad"
"C1 | Laser","colombia","Campaign Negative Broad"
"C1 | Laser","chile","Campaign Negative Broad"
"C1 | Laser","uruguay","Campaign Negative Broad"
"C1 | Laser","espana","Campaign Negative Broad"
"C1 | Laser","madrid","Campaign Negative Broad"
"C1 | Laser","barcelona","Campaign Negative Broad"
"C1 | Laser","miami","Campaign Negative Broad"
"C1 | Laser","turquia","Campaign Negative Broad"
"C1 | Laser","peru","Campaign Negative Broad"
"C1 | Laser","cordoba","Campaign Negative Broad"
"C1 | Laser","rosario","Campaign Negative Broad"
"C1 | Laser","mendoza","Campaign Negative Broad"
"C1 | Laser","la plata","Campaign Negative Phrase"
"C1 | Laser","mar del plata","Campaign Negative Phrase"
"C1 | Laser","veterinario","Campaign Negative Broad"
"C1 | Laser","perro","Campaign Negative Broad"
"C1 | Laser","gato","Campaign Negative Broad"
"C2 | Toxina botulinica","depilacion","Campaign Negative Broad"
"C2 | Toxina botulinica","depilacion definitiva","Campaign Negative Phrase"
"C2 | Toxina botulinica","depilacion laser","Campaign Negative Phrase"
"C2 | Toxina botulinica","depilarse","Campaign Negative Broad"
"C2 | Toxina botulinica","vello","Campaign Negative Broad"
"C2 | Toxina botulinica","pelos","Campaign Negative Broad"
"C2 | Toxina botulinica","botox capilar","Campaign Negative Phrase"
"C2 | Toxina botulinica","botox para el pelo","Campaign Negative Phrase"
"C2 | Toxina botulinica","botox capilar precio","Campaign Negative Phrase"
"C2 | Toxina botulinica","alisado","Campaign Negative Broad"
"C2 | Toxina botulinica","keratina","Campaign Negative Broad"
"C2 | Toxina botulinica","nanoplastia","Campaign Negative Broad"
"C2 | Toxina botulinica","tatuaje","Campaign Negative Broad"
"C2 | Toxina botulinica","tatuajes","Campaign Negative Broad"
"C2 | Toxina botulinica","borrar tatuaje","Campaign Negative Phrase"
"C2 | Toxina botulinica","miopia","Campaign Negative Broad"
"C2 | Toxina botulinica","astigmatismo","Campaign Negative Broad"
"C2 | Toxina botulinica","operacion de ojos","Campaign Negative Phrase"
"C2 | Toxina botulinica","laser ocular","Campaign Negative Phrase"
"C2 | Toxina botulinica","laser dental","Campaign Negative Phrase"
"C2 | Toxina botulinica","laser co2","Campaign Negative Phrase"
"C2 | Toxina botulinica","podologia","Campaign Negative Broad"
"C2 | Toxina botulinica","unas esculpidas","Campaign Negative Phrase"
"C2 | Toxina botulinica","kapping","Campaign Negative Broad"
"C2 | Toxina botulinica","manicura","Campaign Negative Broad"
"C2 | Toxina botulinica","semipermanente","Campaign Negative Broad"
"C2 | Toxina botulinica","obra social","Campaign Negative Phrase"
"C2 | Toxina botulinica","prepaga","Campaign Negative Phrase"
"C2 | Toxina botulinica","osde","Campaign Negative Broad"
"C2 | Toxina botulinica","swiss medical","Campaign Negative Phrase"
"C2 | Toxina botulinica","galeno","Campaign Negative Broad"
"C2 | Toxina botulinica","medife","Campaign Negative Broad"
"C2 | Toxina botulinica","omint","Campaign Negative Broad"
"C2 | Toxina botulinica","pami","Campaign Negative Broad"
"C2 | Toxina botulinica","ioma","Campaign Negative Broad"
"C2 | Toxina botulinica","hospital","Campaign Negative Broad"
"C2 | Toxina botulinica","gratis","Campaign Negative Broad"
"C2 | Toxina botulinica","gratuito","Campaign Negative Broad"
"C2 | Toxina botulinica","gratuita","Campaign Negative Broad"
"C2 | Toxina botulinica","curso","Campaign Negative Broad"
"C2 | Toxina botulinica","cursos","Campaign Negative Broad"
"C2 | Toxina botulinica","capacitacion","Campaign Negative Broad"
"C2 | Toxina botulinica","carrera","Campaign Negative Broad"
"C2 | Toxina botulinica","estudiar","Campaign Negative Broad"
"C2 | Toxina botulinica","universidad","Campaign Negative Broad"
"C2 | Toxina botulinica","facultad","Campaign Negative Broad"
"C2 | Toxina botulinica","diplomatura","Campaign Negative Broad"
"C2 | Toxina botulinica","certificacion","Campaign Negative Broad"
"C2 | Toxina botulinica","tutorial","Campaign Negative Broad"
"C2 | Toxina botulinica","paso a paso","Campaign Negative Phrase"
"C2 | Toxina botulinica","que es","Campaign Negative Phrase"
"C2 | Toxina botulinica","significado","Campaign Negative Broad"
"C2 | Toxina botulinica","definicion","Campaign Negative Broad"
"C2 | Toxina botulinica","wikipedia","Campaign Negative Broad"
"C2 | Toxina botulinica","pdf","Campaign Negative Broad"
"C2 | Toxina botulinica","imagenes","Campaign Negative Broad"
"C2 | Toxina botulinica","antes y despues","Campaign Negative Phrase"
"C2 | Toxina botulinica","trabajo","Campaign Negative Broad"
"C2 | Toxina botulinica","empleo","Campaign Negative Broad"
"C2 | Toxina botulinica","vacante","Campaign Negative Broad"
"C2 | Toxina botulinica","sueldo","Campaign Negative Broad"
"C2 | Toxina botulinica","cuanto gana","Campaign Negative Phrase"
"C2 | Toxina botulinica","curriculum","Campaign Negative Broad"
"C2 | Toxina botulinica","barato","Campaign Negative Broad"
"C2 | Toxina botulinica","baratos","Campaign Negative Broad"
"C2 | Toxina botulinica","economico","Campaign Negative Broad"
"C2 | Toxina botulinica","mas barato","Campaign Negative Phrase"
"C2 | Toxina botulinica","low cost","Campaign Negative Phrase"
"C2 | Toxina botulinica","promo","Campaign Negative Broad"
"C2 | Toxina botulinica","promocion","Campaign Negative Broad"
"C2 | Toxina botulinica","oferta","Campaign Negative Broad"
"C2 | Toxina botulinica","descuento","Campaign Negative Broad"
"C2 | Toxina botulinica","cuotas","Campaign Negative Broad"
"C2 | Toxina botulinica","2x1","Campaign Negative Broad"
"C2 | Toxina botulinica","hot sale","Campaign Negative Phrase"
"C2 | Toxina botulinica","black friday","Campaign Negative Phrase"
"C2 | Toxina botulinica","groupon","Campaign Negative Broad"
"C2 | Toxina botulinica","casero","Campaign Negative Broad"
"C2 | Toxina botulinica","caseros","Campaign Negative Broad"
"C2 | Toxina botulinica","remedio","Campaign Negative Broad"
"C2 | Toxina botulinica","remedios","Campaign Negative Broad"
"C2 | Toxina botulinica","receta casera","Campaign Negative Phrase"
"C2 | Toxina botulinica","natural","Campaign Negative Broad"
"C2 | Toxina botulinica","a domicilio","Campaign Negative Phrase"
"C2 | Toxina botulinica","spa","Campaign Negative Broad"
"C2 | Toxina botulinica","masajes","Campaign Negative Broad"
"C2 | Toxina botulinica","relleno de labios","Campaign Negative Phrase"
"C2 | Toxina botulinica","aumento de labios","Campaign Negative Phrase"
"C2 | Toxina botulinica","acido hialuronico labios","Campaign Negative Phrase"
"C2 | Toxina botulinica","relleno facial","Campaign Negative Phrase"
"C2 | Toxina botulinica","hilos tensores","Campaign Negative Phrase"
"C2 | Toxina botulinica","lifting","Campaign Negative Broad"
"C2 | Toxina botulinica","liposuccion","Campaign Negative Broad"
"C2 | Toxina botulinica","lipoaspiracion","Campaign Negative Broad"
"C2 | Toxina botulinica","abdominoplastia","Campaign Negative Broad"
"C2 | Toxina botulinica","protesis mamarias","Campaign Negative Phrase"
"C2 | Toxina botulinica","aumento de busto","Campaign Negative Phrase"
"C2 | Toxina botulinica","rinoplastia","Campaign Negative Broad"
"C2 | Toxina botulinica","bichectomia","Campaign Negative Broad"
"C2 | Toxina botulinica","criolipolisis","Campaign Negative Broad"
"C2 | Toxina botulinica","celulitis","Campaign Negative Broad"
"C2 | Toxina botulinica","farmacia","Campaign Negative Broad"
"C2 | Toxina botulinica","comprar crema","Campaign Negative Phrase"
"C2 | Toxina botulinica","pomada","Campaign Negative Broad"
"C2 | Toxina botulinica","comprar","Campaign Negative Broad"
"C2 | Toxina botulinica","venta","Campaign Negative Broad"
"C2 | Toxina botulinica","maquina","Campaign Negative Broad"
"C2 | Toxina botulinica","equipo laser","Campaign Negative Phrase"
"C2 | Toxina botulinica","aparatologia","Campaign Negative Broad"
"C2 | Toxina botulinica","insumos","Campaign Negative Broad"
"C2 | Toxina botulinica","mayorista","Campaign Negative Broad"
"C2 | Toxina botulinica","distribuidor","Campaign Negative Broad"
"C2 | Toxina botulinica","alquiler","Campaign Negative Broad"
"C2 | Toxina botulinica","usado","Campaign Negative Broad"
"C2 | Toxina botulinica","mexico","Campaign Negative Broad"
"C2 | Toxina botulinica","colombia","Campaign Negative Broad"
"C2 | Toxina botulinica","chile","Campaign Negative Broad"
"C2 | Toxina botulinica","uruguay","Campaign Negative Broad"
"C2 | Toxina botulinica","espana","Campaign Negative Broad"
"C2 | Toxina botulinica","madrid","Campaign Negative Broad"
"C2 | Toxina botulinica","barcelona","Campaign Negative Broad"
"C2 | Toxina botulinica","miami","Campaign Negative Broad"
"C2 | Toxina botulinica","turquia","Campaign Negative Broad"
"C2 | Toxina botulinica","peru","Campaign Negative Broad"
"C2 | Toxina botulinica","cordoba","Campaign Negative Broad"
"C2 | Toxina botulinica","rosario","Campaign Negative Broad"
"C2 | Toxina botulinica","mendoza","Campaign Negative Broad"
"C2 | Toxina botulinica","la plata","Campaign Negative Phrase"
"C2 | Toxina botulinica","mar del plata","Campaign Negative Phrase"
"C2 | Toxina botulinica","veterinario","Campaign Negative Broad"
"C2 | Toxina botulinica","perro","Campaign Negative Broad"
"C2 | Toxina botulinica","gato","Campaign Negative Broad"
"C3 | Cosmiatria","depilacion","Campaign Negative Broad"
"C3 | Cosmiatria","depilacion definitiva","Campaign Negative Phrase"
"C3 | Cosmiatria","depilacion laser","Campaign Negative Phrase"
"C3 | Cosmiatria","depilarse","Campaign Negative Broad"
"C3 | Cosmiatria","vello","Campaign Negative Broad"
"C3 | Cosmiatria","pelos","Campaign Negative Broad"
"C3 | Cosmiatria","botox capilar","Campaign Negative Phrase"
"C3 | Cosmiatria","botox para el pelo","Campaign Negative Phrase"
"C3 | Cosmiatria","botox capilar precio","Campaign Negative Phrase"
"C3 | Cosmiatria","alisado","Campaign Negative Broad"
"C3 | Cosmiatria","keratina","Campaign Negative Broad"
"C3 | Cosmiatria","nanoplastia","Campaign Negative Broad"
"C3 | Cosmiatria","tatuaje","Campaign Negative Broad"
"C3 | Cosmiatria","tatuajes","Campaign Negative Broad"
"C3 | Cosmiatria","borrar tatuaje","Campaign Negative Phrase"
"C3 | Cosmiatria","miopia","Campaign Negative Broad"
"C3 | Cosmiatria","astigmatismo","Campaign Negative Broad"
"C3 | Cosmiatria","operacion de ojos","Campaign Negative Phrase"
"C3 | Cosmiatria","laser ocular","Campaign Negative Phrase"
"C3 | Cosmiatria","laser dental","Campaign Negative Phrase"
"C3 | Cosmiatria","laser co2","Campaign Negative Phrase"
"C3 | Cosmiatria","podologia","Campaign Negative Broad"
"C3 | Cosmiatria","unas esculpidas","Campaign Negative Phrase"
"C3 | Cosmiatria","kapping","Campaign Negative Broad"
"C3 | Cosmiatria","manicura","Campaign Negative Broad"
"C3 | Cosmiatria","semipermanente","Campaign Negative Broad"
"C3 | Cosmiatria","obra social","Campaign Negative Phrase"
"C3 | Cosmiatria","prepaga","Campaign Negative Phrase"
"C3 | Cosmiatria","osde","Campaign Negative Broad"
"C3 | Cosmiatria","swiss medical","Campaign Negative Phrase"
"C3 | Cosmiatria","galeno","Campaign Negative Broad"
"C3 | Cosmiatria","medife","Campaign Negative Broad"
"C3 | Cosmiatria","omint","Campaign Negative Broad"
"C3 | Cosmiatria","pami","Campaign Negative Broad"
"C3 | Cosmiatria","ioma","Campaign Negative Broad"
"C3 | Cosmiatria","hospital","Campaign Negative Broad"
"C3 | Cosmiatria","gratis","Campaign Negative Broad"
"C3 | Cosmiatria","gratuito","Campaign Negative Broad"
"C3 | Cosmiatria","gratuita","Campaign Negative Broad"
"C3 | Cosmiatria","curso","Campaign Negative Broad"
"C3 | Cosmiatria","cursos","Campaign Negative Broad"
"C3 | Cosmiatria","capacitacion","Campaign Negative Broad"
"C3 | Cosmiatria","carrera","Campaign Negative Broad"
"C3 | Cosmiatria","estudiar","Campaign Negative Broad"
"C3 | Cosmiatria","universidad","Campaign Negative Broad"
"C3 | Cosmiatria","facultad","Campaign Negative Broad"
"C3 | Cosmiatria","diplomatura","Campaign Negative Broad"
"C3 | Cosmiatria","certificacion","Campaign Negative Broad"
"C3 | Cosmiatria","tutorial","Campaign Negative Broad"
"C3 | Cosmiatria","paso a paso","Campaign Negative Phrase"
"C3 | Cosmiatria","que es","Campaign Negative Phrase"
"C3 | Cosmiatria","significado","Campaign Negative Broad"
"C3 | Cosmiatria","definicion","Campaign Negative Broad"
"C3 | Cosmiatria","wikipedia","Campaign Negative Broad"
"C3 | Cosmiatria","pdf","Campaign Negative Broad"
"C3 | Cosmiatria","imagenes","Campaign Negative Broad"
"C3 | Cosmiatria","antes y despues","Campaign Negative Phrase"
"C3 | Cosmiatria","trabajo","Campaign Negative Broad"
"C3 | Cosmiatria","empleo","Campaign Negative Broad"
"C3 | Cosmiatria","vacante","Campaign Negative Broad"
"C3 | Cosmiatria","sueldo","Campaign Negative Broad"
"C3 | Cosmiatria","cuanto gana","Campaign Negative Phrase"
"C3 | Cosmiatria","curriculum","Campaign Negative Broad"
"C3 | Cosmiatria","barato","Campaign Negative Broad"
"C3 | Cosmiatria","baratos","Campaign Negative Broad"
"C3 | Cosmiatria","economico","Campaign Negative Broad"
"C3 | Cosmiatria","mas barato","Campaign Negative Phrase"
"C3 | Cosmiatria","low cost","Campaign Negative Phrase"
"C3 | Cosmiatria","promo","Campaign Negative Broad"
"C3 | Cosmiatria","promocion","Campaign Negative Broad"
"C3 | Cosmiatria","oferta","Campaign Negative Broad"
"C3 | Cosmiatria","descuento","Campaign Negative Broad"
"C3 | Cosmiatria","cuotas","Campaign Negative Broad"
"C3 | Cosmiatria","2x1","Campaign Negative Broad"
"C3 | Cosmiatria","hot sale","Campaign Negative Phrase"
"C3 | Cosmiatria","black friday","Campaign Negative Phrase"
"C3 | Cosmiatria","groupon","Campaign Negative Broad"
"C3 | Cosmiatria","casero","Campaign Negative Broad"
"C3 | Cosmiatria","caseros","Campaign Negative Broad"
"C3 | Cosmiatria","remedio","Campaign Negative Broad"
"C3 | Cosmiatria","remedios","Campaign Negative Broad"
"C3 | Cosmiatria","receta casera","Campaign Negative Phrase"
"C3 | Cosmiatria","natural","Campaign Negative Broad"
"C3 | Cosmiatria","a domicilio","Campaign Negative Phrase"
"C3 | Cosmiatria","spa","Campaign Negative Broad"
"C3 | Cosmiatria","masajes","Campaign Negative Broad"
"C3 | Cosmiatria","relleno de labios","Campaign Negative Phrase"
"C3 | Cosmiatria","aumento de labios","Campaign Negative Phrase"
"C3 | Cosmiatria","acido hialuronico labios","Campaign Negative Phrase"
"C3 | Cosmiatria","relleno facial","Campaign Negative Phrase"
"C3 | Cosmiatria","hilos tensores","Campaign Negative Phrase"
"C3 | Cosmiatria","lifting","Campaign Negative Broad"
"C3 | Cosmiatria","liposuccion","Campaign Negative Broad"
"C3 | Cosmiatria","lipoaspiracion","Campaign Negative Broad"
"C3 | Cosmiatria","abdominoplastia","Campaign Negative Broad"
"C3 | Cosmiatria","protesis mamarias","Campaign Negative Phrase"
"C3 | Cosmiatria","aumento de busto","Campaign Negative Phrase"
"C3 | Cosmiatria","rinoplastia","Campaign Negative Broad"
"C3 | Cosmiatria","bichectomia","Campaign Negative Broad"
"C3 | Cosmiatria","criolipolisis","Campaign Negative Broad"
"C3 | Cosmiatria","celulitis","Campaign Negative Broad"
"C3 | Cosmiatria","farmacia","Campaign Negative Broad"
"C3 | Cosmiatria","comprar crema","Campaign Negative Phrase"
"C3 | Cosmiatria","pomada","Campaign Negative Broad"
"C3 | Cosmiatria","comprar","Campaign Negative Broad"
"C3 | Cosmiatria","venta","Campaign Negative Broad"
"C3 | Cosmiatria","maquina","Campaign Negative Broad"
"C3 | Cosmiatria","equipo laser","Campaign Negative Phrase"
"C3 | Cosmiatria","aparatologia","Campaign Negative Broad"
"C3 | Cosmiatria","insumos","Campaign Negative Broad"
"C3 | Cosmiatria","mayorista","Campaign Negative Broad"
"C3 | Cosmiatria","distribuidor","Campaign Negative Broad"
"C3 | Cosmiatria","alquiler","Campaign Negative Broad"
"C3 | Cosmiatria","usado","Campaign Negative Broad"
"C3 | Cosmiatria","mexico","Campaign Negative Broad"
"C3 | Cosmiatria","colombia","Campaign Negative Broad"
"C3 | Cosmiatria","chile","Campaign Negative Broad"
"C3 | Cosmiatria","uruguay","Campaign Negative Broad"
"C3 | Cosmiatria","espana","Campaign Negative Broad"
"C3 | Cosmiatria","madrid","Campaign Negative Broad"
"C3 | Cosmiatria","barcelona","Campaign Negative Broad"
"C3 | Cosmiatria","miami","Campaign Negative Broad"
"C3 | Cosmiatria","turquia","Campaign Negative Broad"
"C3 | Cosmiatria","peru","Campaign Negative Broad"
"C3 | Cosmiatria","cordoba","Campaign Negative Broad"
"C3 | Cosmiatria","rosario","Campaign Negative Broad"
"C3 | Cosmiatria","mendoza","Campaign Negative Broad"
"C3 | Cosmiatria","la plata","Campaign Negative Phrase"
"C3 | Cosmiatria","mar del plata","Campaign Negative Phrase"
"C3 | Cosmiatria","veterinario","Campaign Negative Broad"
"C3 | Cosmiatria","perro","Campaign Negative Broad"
"C3 | Cosmiatria","gato","Campaign Negative Broad"
"C4 | Dermatologa Palermo","depilacion","Campaign Negative Broad"
"C4 | Dermatologa Palermo","depilacion definitiva","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","depilacion laser","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","depilarse","Campaign Negative Broad"
"C4 | Dermatologa Palermo","vello","Campaign Negative Broad"
"C4 | Dermatologa Palermo","pelos","Campaign Negative Broad"
"C4 | Dermatologa Palermo","botox capilar","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","botox para el pelo","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","botox capilar precio","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","alisado","Campaign Negative Broad"
"C4 | Dermatologa Palermo","keratina","Campaign Negative Broad"
"C4 | Dermatologa Palermo","nanoplastia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","tatuaje","Campaign Negative Broad"
"C4 | Dermatologa Palermo","tatuajes","Campaign Negative Broad"
"C4 | Dermatologa Palermo","borrar tatuaje","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","miopia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","astigmatismo","Campaign Negative Broad"
"C4 | Dermatologa Palermo","operacion de ojos","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","laser ocular","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","laser dental","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","laser co2","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","podologia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","unas esculpidas","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","kapping","Campaign Negative Broad"
"C4 | Dermatologa Palermo","manicura","Campaign Negative Broad"
"C4 | Dermatologa Palermo","semipermanente","Campaign Negative Broad"
"C4 | Dermatologa Palermo","obra social","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","prepaga","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","osde","Campaign Negative Broad"
"C4 | Dermatologa Palermo","swiss medical","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","galeno","Campaign Negative Broad"
"C4 | Dermatologa Palermo","medife","Campaign Negative Broad"
"C4 | Dermatologa Palermo","omint","Campaign Negative Broad"
"C4 | Dermatologa Palermo","pami","Campaign Negative Broad"
"C4 | Dermatologa Palermo","ioma","Campaign Negative Broad"
"C4 | Dermatologa Palermo","hospital","Campaign Negative Broad"
"C4 | Dermatologa Palermo","gratis","Campaign Negative Broad"
"C4 | Dermatologa Palermo","gratuito","Campaign Negative Broad"
"C4 | Dermatologa Palermo","gratuita","Campaign Negative Broad"
"C4 | Dermatologa Palermo","curso","Campaign Negative Broad"
"C4 | Dermatologa Palermo","cursos","Campaign Negative Broad"
"C4 | Dermatologa Palermo","capacitacion","Campaign Negative Broad"
"C4 | Dermatologa Palermo","carrera","Campaign Negative Broad"
"C4 | Dermatologa Palermo","estudiar","Campaign Negative Broad"
"C4 | Dermatologa Palermo","universidad","Campaign Negative Broad"
"C4 | Dermatologa Palermo","facultad","Campaign Negative Broad"
"C4 | Dermatologa Palermo","diplomatura","Campaign Negative Broad"
"C4 | Dermatologa Palermo","certificacion","Campaign Negative Broad"
"C4 | Dermatologa Palermo","tutorial","Campaign Negative Broad"
"C4 | Dermatologa Palermo","paso a paso","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","que es","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","significado","Campaign Negative Broad"
"C4 | Dermatologa Palermo","definicion","Campaign Negative Broad"
"C4 | Dermatologa Palermo","wikipedia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","pdf","Campaign Negative Broad"
"C4 | Dermatologa Palermo","imagenes","Campaign Negative Broad"
"C4 | Dermatologa Palermo","antes y despues","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","trabajo","Campaign Negative Broad"
"C4 | Dermatologa Palermo","empleo","Campaign Negative Broad"
"C4 | Dermatologa Palermo","vacante","Campaign Negative Broad"
"C4 | Dermatologa Palermo","sueldo","Campaign Negative Broad"
"C4 | Dermatologa Palermo","cuanto gana","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","curriculum","Campaign Negative Broad"
"C4 | Dermatologa Palermo","barato","Campaign Negative Broad"
"C4 | Dermatologa Palermo","baratos","Campaign Negative Broad"
"C4 | Dermatologa Palermo","economico","Campaign Negative Broad"
"C4 | Dermatologa Palermo","mas barato","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","low cost","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","promo","Campaign Negative Broad"
"C4 | Dermatologa Palermo","promocion","Campaign Negative Broad"
"C4 | Dermatologa Palermo","oferta","Campaign Negative Broad"
